News_Headline,Link_Of_News,Source,Stated_On,Date,Label
"Says Winston Churchill said, ""You have enemies? Good. That means you’ve stood up for something, sometime in your life.""",https://www.politifact.com/factchecks/2019/sep/04/facebook-posts/quote-attributed-churchill-having-enemies-original/,Facebook posts," August 28, 20"," September 4, 2019",FALSE
"Says a photo shows Donald Trump holding a sign that says, ""No matter who is president, Jesus is still king.""",https://www.politifact.com/factchecks/2019/sep/04/viral-image/photo-donald-trump-holding-sign-says-jesus-still-k/,Viral image," August 28, 20"," September 4, 2019",FALSE
"Says the ""bones of children"" were found on Jeffrey Epstein’s island.",https://www.politifact.com/factchecks/2019/sep/04/facebook-posts/no-bones-children-were-not-discovered-jeffrey-epst/,Facebook posts," August 22, 20"," September 4, 2019",FALSE
"Says a photo shows U.S. Rep. Ilhan Omar ""at a Al’ Qaida training camp in Somalia.""",https://www.politifact.com/factchecks/2019/sep/04/viral-image/no-isnt-photo-ilhan-omar-al-qaida-training-camp/,Viral image," August 29, 20"," September 4, 2019",pants-fire
A 1988 exorcism took place in the only house still standing after Hurricane Ike.,https://www.politifact.com/factchecks/2019/sep/03/viral-image/no-1988-exorcism-didnt-happen-house-survived-hurri/,Viral image," August 28, 20"," September 3, 2019",pants-fire
Say Gov. Tony Evers ‘canceled’ the sales tax holiday this year,https://www.politifact.com/factchecks/2019/sep/03/wisconsin-assembly-republicans/no-evers-did-not-cancel-sales-tax-holiday/,Wisconsin Assembly Republicans," August 27, 20"," September 3, 2019",FALSE
Says an image shows a photo of hurricane-ravaged Abaco Island in the Bahamas.,https://www.politifact.com/factchecks/2019/sep/03/facebook-posts/old-photo-hurricane-michael-damage-recycled-dorian/,Facebook posts," September 2, "," September 3, 2019",FALSE
"Quotes George Washington as saying ""when any nation mistrusts its citizens with guns … It no longer trusts its citizens because such a government has evil plans.""",https://www.politifact.com/factchecks/2019/sep/03/facebook-posts/washington-didnt-say-government-mistrusts-citizens/,Facebook posts," August 17, 20"," September 3, 2019",pants-fire
"Says Dan Bishop ""took the only vote from either party — the only vote — against pharmacists being able to tell people about lower-cost drugs.""",https://www.politifact.com/factchecks/2019/sep/03/dan-mccready/nc-congressional-race-mccready-says-bishop-was-lon/,Dan McCready," August 28, 20"," September 3, 2019",half-true
"Florida’s red flag gun law has been used ""about five times a day.""",https://www.politifact.com/factchecks/2019/sep/03/dave-aronberg/explaining-how-floridas-red-flag-gun-law-works/,Dave Aronberg," August 26, 20"," September 3, 2019",TRUE
"Says the U.S. gives Israel ""$3 billion annually"" in aid and zero to Detroit.",https://www.politifact.com/factchecks/2019/sep/03/facebook-posts/yes-us-gives-billions-israel-every-year-detroit-re/,Facebook posts," August 16, 20"," September 3, 2019",barely-true
"""Most climate scientists agree that we only have less than a decade to turn things around or else we’ll be stuck with a 'worst case scenario' including rising sea levels, devastating droughts, and worsening famines.""",https://www.politifact.com/factchecks/2019/sep/01/sean-casten/does-science-say-time-running-out-stop-climate-dis/,Sean Casten," August 18, 20"," September 1, 2019",mostly-true
"Says Dan McCready ""believes in open borders and sanctuary cities.""",https://www.politifact.com/factchecks/2019/aug/30/donald-trump/trump-misleads-nc-about-dan-mccreadys-immigration-/,Donald Trump," August 27, 20"," August 30, 2019",barely-true
"Says President Donald Trump has been ""taking money Congress authorized to protect people facing disaster in order to indefinitely detain asylum seekers.""",https://www.politifact.com/factchecks/2019/aug/30/pete-buttigieg/fact-checking-whether-fema-funds-were-shifted-inde/,Pete Buttigieg," August 28, 20"," August 30, 2019",half-true
"The push by Assembly Democrats seeking Americans with Disabilities Act accommodations for a lawmaker were timed to make Vos look bad as he became president ""of the nation’s largest bipartisan organization called the National Conference of State Legislatures.""",https://www.politifact.com/factchecks/2019/aug/30/robin-vos/vos-misses-mark-claim-over-timing-disability-accom/,Robin Vos," August 15, 20"," August 30, 2019",FALSE
"""Some 200,000 people are in jail for the crime of being poor and not being able to afford bail.""",https://www.politifact.com/factchecks/2019/aug/29/bernie-sanders/bernie-sanders-half-true-claim-number-people-jail-/,Bernie Sanders," August 22, 20"," August 29, 2019",half-true
"""We lag behind many other developed nations in connectivity and speed, while also paying more for that service.""",https://www.politifact.com/factchecks/2019/aug/29/elizabeth-warren/warren-says-us-broadband-lags-compared-other-natio/,Elizabeth Warren," August 27, 20"," August 29, 2019",mostly-true
"""1 out of every 4 car accidents in the U.S. is caused by texting and driving.""",https://www.politifact.com/factchecks/2019/aug/28/tony-evers/evers-wrong-texting-and-driving-stat/,Tony Evers," August 20, 20"," August 28, 2019",FALSE
"Crimea ""was sort of taken away from President Obama. … And he wanted Russia to be out of what was called the G-8. And that was his determination.""",https://www.politifact.com/factchecks/2019/aug/27/donald-trump/donald-trump-misleads-russia-crimea-obama/,Donald Trump," August 26, 20"," August 27, 2019",barely-true
"""The U.S. now leads the world in producing both oil and natural gas, and at the same time reducing energy-related emissions.""",https://www.politifact.com/factchecks/2019/aug/27/rick-perry/rick-perrys-claim-about-energy-production-emission/,Rick Perry," August 14, 20"," August 27, 2019",half-true
"""We made a ridiculous deal (with Iran). We gave them $150 billion. We gave them $1.8 billion, and we got nothing.""",https://www.politifact.com/factchecks/2019/aug/27/donald-trump/donald-trump-miscasts-money-and-terms-iran-nuclear/,Donald Trump," August 26, 20"," August 27, 2019",barely-true
"""Last year, South Carolina spent $21,756 per prison inmate and $11,552 per student.""",https://www.politifact.com/factchecks/2019/aug/27/bernie-sanders/bernie-sanders-right-south-carolina-spends-more-pr/,Bernie Sanders," August 26, 20"," August 27, 2019",mostly-true
"Says you can determine a bell pepper’s gender by its ""bumps.""",https://www.politifact.com/factchecks/2019/aug/27/viral-image/bell-peppers-dont-have-genders/,Viral image," August 26, 20"," August 27, 2019",FALSE
"""89,000 children were separated from their parents under Obama"" and ""only 1,900 children have been separated under Trump.""",https://www.politifact.com/factchecks/2019/aug/27/facebook-posts/facebook-post-makes-inaccurate-comparison-family-s/,Facebook posts," August 25, 20"," August 27, 2019",FALSE
"Says ""Muhammad owned many slaves"" while Robert E. Lee was ""against slavery.""",https://www.politifact.com/factchecks/2019/aug/27/facebook-posts/no-robert-e-lee-was-not-against-slavery-facebook-p/,Facebook posts," August 19, 20"," August 27, 2019",FALSE
"Says Pope Francis said, ""You cannot call yourself ‘Catholic’ and vote Democrat. It is a grave sin, one for which there is no redemption.""",https://www.politifact.com/factchecks/2019/aug/27/viral-image/no-evidence-pope-francis-said-catholics-who-vote-d/,Viral image," August 26, 20"," August 27, 2019",FALSE
Says Susan Coleman was killed after having an affair with Bill Clinton.,https://www.politifact.com/factchecks/2019/aug/27/viral-image/no-evidence-support-clinton-body-count-hoax/,Viral image," August 13, 20"," August 27, 2019",FALSE
Says President Donald Trump hasn’t condemned David Duke and Richard Spencer.,https://www.politifact.com/factchecks/2019/aug/27/joe-biden/biden-wrong-when-he-says-trump-hasnt-condemned-dav/,Joe Biden," August 20, 20"," August 27, 2019",barely-true
"Says 12 restaurants and food companies are ""supporting Trump’s re-election.""",https://www.politifact.com/factchecks/2019/aug/26/instagram-posts/instagram-post-misconstrues-food-companies-support/,Instagram posts," August 8, 201"," August 26, 2019",FALSE
"""Trump is as destructive a person in this century as Hitler, Stalin, and Mao were in the last century. He may be responsible for many more million deaths than they were.""",https://www.politifact.com/factchecks/2019/aug/26/allen-frances/pants-fire-claim-donald-trump-has-much-blood-his-h/,Allen Frances," August 25, 20"," August 26, 2019",pants-fire
"A federal pilot program to DNA test illegal immigrants showed ""something like 30% (of test subjects) are fake families.""",https://www.politifact.com/factchecks/2019/aug/26/ken-cuccinelli/trump-administration-using-dna-tests-crack-down-fa/,Ken Cuccinelli," August 22, 20"," August 26, 2019",half-true
"Says 194 people were killed in mass shootings in 2018 while undocumented immigrants killed 83,211 people.",https://www.politifact.com/factchecks/2019/aug/26/facebook-posts/post-comparing-mass-shooting-deaths-homicides-undo/,Facebook posts," August 15, 20"," August 26, 2019",FALSE
"""Popeyes manager arrested for allegedly dipping chicken in cocaine based flour to increase business sales.""",https://www.politifact.com/factchecks/2019/aug/23/viral-image/no-popeyes-manager-wasnt-arrested-lacing-fried-chi/,Viral image," August 23, 20"," August 23, 2019",pants-fire
Says a photo shows a gas-powered van towing a diesel generator that is charging an electric car.,https://www.politifact.com/factchecks/2019/aug/23/viral-image/no-s-not-van-towing-diesel-generator-charge-electr/,Viral image," August 11, 20"," August 23, 2019",FALSE
"""If you need to call 911 but are scared to because of someone in the room dial and ask for a pepperoni pizza.""",https://www.politifact.com/factchecks/2019/aug/23/viral-image/911-pepperoni-pizza-tip-myth/,Viral image," June 23, 2019"," August 23, 2019",FALSE
"""Elected officials draw (legislative redistricting) maps. That’s it.""",https://www.politifact.com/factchecks/2019/aug/23/adam-jarchow/former-wisconsin-rep-misses-mark-redistricting-cla/,Adam Jarchow," July 16, 2019"," August 23, 2019",FALSE
"Says President Barack Obama made it ""legal"" for the media to ""purposely lie"" to the public when he ""quietly signed into law HR 4310 in 2012.""",https://www.politifact.com/factchecks/2019/aug/23/facebook-posts/no-obama-didnt-make-it-legal-media-outlets-purpose/,Facebook posts," August 20, 20"," August 23, 2019",FALSE
"Says ""Dan Bishop doubles down on removing coverage for people with pre-existing conditions. Under his sham ‘association health plans,’ insurance companies don't have to pay for medications for pre-existing conditions.""",https://www.politifact.com/factchecks/2019/aug/23/dan-mccready/mccready-tells-half-story-about-bishops-health-bil/,Dan McCready," August 8, 201"," August 22, 2019",half-true
"""Since the passage of Tax Cuts, real disposable personal income per household has increased $5,205.""",https://www.politifact.com/factchecks/2019/aug/22/ivanka-trump/ivanka-trump-mostly-accurate-disposable-income-has/,Ivanka Trump," August 20, 20"," August 22, 2019",mostly-true
"Domino’s Pizza is giving each person who shares a Facebook post ""a coupon valid for 2 large pizzas.""",https://www.politifact.com/factchecks/2019/aug/22/facebook-posts/no-dominos-isnt-giving-away-coupons-two-large-pizz/,Facebook posts," August 22, 20"," August 22, 2019",FALSE
"Instagram users must post a note or ""everything you’ve ever posted becomes public from today.""",https://www.politifact.com/factchecks/2019/aug/22/viral-image/dont-fall-instagram-hoax/,Viral image," August 22, 20"," August 22, 2019",FALSE
"""We have something like one out of four young black men in this country end up in the criminal justice system. They may end up in jail, they may end up on parole, they may end up on probation.""",https://www.politifact.com/factchecks/2019/aug/22/bernie-sanders/bernie-sanders-told-cardi-b-one-four-young-black-m/,Bernie Sanders," August 15, 20"," August 22, 2019",half-true
"""Yesterday we had the strongest dollar in the history of our country.""",https://www.politifact.com/factchecks/2019/aug/22/donald-trump/donald-trump-incorrect-us-dollar-strongest-its-eve/,Donald Trump," August 21, 20"," August 22, 2019",FALSE
"The ""boyfriend loophole"" means that ""if you commit a serious crime of domestic abuse against your wife, you can't get a gun, but if you do it against your girlfriend, you can.""",https://www.politifact.com/factchecks/2019/aug/22/amy-klobuchar/boyfriend-loophole-some-convicted-domestic-violenc/,Amy Klobuchar," August 12, 20"," August 22, 2019",half-true
"""On average, 65% of gun deaths in America are from suicides.""",https://www.politifact.com/factchecks/2019/aug/21/jason-miyares/62-us-gun-deaths-are-suicides/,Jason Miyares," August 13, 20"," August 21, 2019",mostly-true
"It ""is estimated that as many as 300,000 auto workers may be out of a job before the end of the year.""",https://www.politifact.com/factchecks/2019/aug/21/kamala-harris/no-americas-auto-industry-not-expected-lose-many-3/,Kamala Harris," August 12, 20"," August 21, 2019",FALSE
"Says Hitler said, ""This year will go down in history. For the first time, a civilized nation has full gun registration! Our streets will be safer, our police more efficient, and the world will follow our lead into the future!""",https://www.politifact.com/factchecks/2019/aug/21/viral-image/no-evidence-hitler-made-statement-about-gun-contro/,Viral image," August 8, 201"," August 21, 2019",FALSE
"U.S. tariffs on China are ""not hurting anybody"" in the United States.",https://www.politifact.com/factchecks/2019/aug/20/peter-navarro/donald-trumps-tariffs-china-dont-hurt-americans-to/,Peter Navarro," August 18, 20"," August 20, 2019",pants-fire
"""The law says that mental health must be treated the same as physical health,"" but coverage by health insurers is unequal.",https://www.politifact.com/factchecks/2019/aug/20/elizabeth-warren/warren-makes-point-disparities-insurance-coverage-/,Elizabeth Warren," July 11, 2019"," August 20, 2019",TRUE
"""Wow, Report Just Out! Google manipulated from 2.6 million to 16 million votes for Hillary Clinton in 2016 Election!""",https://www.politifact.com/factchecks/2019/aug/19/donald-trump/donald-trump-wrong-google-manipulating-election-re/,Donald Trump," August 19, 20"," August 19, 2019",FALSE
"Says ""wealthy people in Canada donate to hospitals"" to get better health care treatment.",https://www.politifact.com/factchecks/2019/aug/19/mark-cuban/do-wealthy-canadians-donate-hospitals-get-better-t/,Mark Cuban," August 15, 20"," August 19, 2019",barely-true
"Quotes Thomas Jefferson as saying ""When governments fear the people, there is liberty. When the people fear the government, there is tyranny. The strongest reason for the people to retain the right to keep and bear arms is, as a last resort, to protect themselves against tyranny in government.""",https://www.politifact.com/factchecks/2019/aug/19/facebook-posts/jefferson-didnt-say-people-should-be-armed-protect/,Facebook posts," August 15, 20"," August 19, 2019",FALSE
"Says after the shooting in El Paso, ""on Sunday, everyone was going to church in America, praying about this, and the next day when their kids went to school, they weren’t allowed to pray or bring it up.""",https://www.politifact.com/factchecks/2019/aug/19/dan-patrick/could-students-pray-discuss-el-paso-mass-shooting/,Dan Patrick," August 8, 201"," August 19, 2019",FALSE
"Says the Philadelphia shootings were ""fake"" and that police officers sprayed ""fake blood on themselves.""",https://www.politifact.com/factchecks/2019/aug/19/facebook-posts/no-police-officers-didnt-fake-injuries-during-phil/,Facebook posts," August 15, 20"," August 19, 2019",pants-fire
"In Australia ""they went and confiscated all the guns. You know who did what Australia did? Venezuela.""",https://www.politifact.com/factchecks/2019/aug/19/matt-gaetz/fact-checking-matt-gaetz-gun-bans-australia-and-ve/,Matt Gaetz," August 10, 20"," August 19, 2019",barely-true
"Says Pennsylvania chemical plant and Louisiana liquified natural gas plant ""could never have happened"" without his administration.",https://www.politifact.com/factchecks/2019/aug/16/donald-trump/trump-falsely-takes-credit-two-large-industrial-pr/,Donald Trump," August 15, 20"," August 16, 2019",FALSE
"Says pre-cut onion used to cook the following day ""becomes highly poisonous for even a single night and creates toxic bacteria which may cause adverse stomach infections because of excess bile secretions and even food poisoning.""",https://www.politifact.com/factchecks/2019/aug/16/facebook-posts/no-pre-chopped-onions-are-not-poisonous-next-day-o/,Facebook posts," August 15, 20"," August 16, 2019",pants-fire
"Says CNN President Jeff Zucker ordered employees to downplay Bill Clinton’s relationship with Jeffrey Epstein and make it look like Epstein was ""Trump’s partner in all of this.""",https://www.politifact.com/factchecks/2019/aug/16/facebook-posts/no-cnn-president-jeff-zucker-didnt-order-employees/,Facebook posts," August 14, 20"," August 16, 2019",pants-fire
"Says a photo of Trump smiling with staff at a hospital in Dayton, Ohio, was staged and the nurses were paid actors.",https://www.politifact.com/factchecks/2019/aug/16/viral-image/no-nurses-photo-trump-dayton-hospital-were-not-pai/,Viral image," August 8, 201"," August 16, 2019",FALSE
"""We were losing all our cases in the World Trade Organization. ... And then I came along. Now we’re winning a lot of cases because they know that they’re not on very solid ground.""",https://www.politifact.com/factchecks/2019/aug/16/donald-trump/did-donald-trump-turn-around-us-record-wto/,Donald Trump," August 13, 20"," August 16, 2019",barely-true
"A man arrested by Lubbock, Texas, police for a gun threat said ""his accomplices will be going to different Wal-Mart stores and shooting.""",https://www.politifact.com/factchecks/2019/aug/16/viral-image/police-say-warning-about-walmart-shootings-lubbock/,Viral image," August 13, 20"," August 16, 2019",FALSE
"""97% of murders occur with handguns.""",https://www.politifact.com/factchecks/2019/aug/15/adam-kinzinger/are-handguns-used-commit-nearly-all-murders/,Adam Kinzinger," August 9, 201"," August 15, 2019",barely-true
"Says the Trump administration’s new policy for legal immigrants on welfare ""has been around for a while. This is not a new thing that the president is trying to implement here, that the United States has been this way.""",https://www.politifact.com/factchecks/2019/aug/15/rob-schmitt/whats-new-trumps-public-charge-immigration-policy/,Rob Schmitt," August 14, 20"," August 15, 2019",half-true
A photograph shows Joe Biden with a Grand Wizard of the Ku Klux Klan.,https://www.politifact.com/factchecks/2019/aug/15/viral-image/robert-byrd-wasnt-grand-wizard-kkk-he-once-led-loc/,Viral image," August 9, 201"," August 15, 2019",barely-true
"Says the large trade deficit with Japan stems from them sending ""millions of cars,"" while ""we send them wheat,"" but the deficit is ""changing rapidly.""",https://www.politifact.com/factchecks/2019/aug/15/donald-trump/cars-vs-wheat-donald-trump-muddles-us-japan-trade-/,Donald Trump," August 13, 20"," August 15, 2019",barely-true
Says the late Lady Bird Johnson sicced the CIA on actress and singer Eartha Kitt after Kitt spoke out against the Vietnam War during a White House luncheon in January 1968.,https://www.politifact.com/factchecks/2019/aug/15/drunk-history/did-lady-bird-johnson-sic-cia-eartha-kitt/,Drunk History," July 2, 2019 "," August 15, 2019",barely-true
"""The vast majority"" of San Francisco’s homeless people ""also come in from — and we know this — from Texas. Just (an) interesting fact.""",https://www.politifact.com/factchecks/2019/aug/14/gavin-newsom/gavin-newsoms-ridiculous-claim-texas-responsible-s/,Gavin Newsom," June 23, 2019"," August 14, 2019",pants-fire
"Law-abiding gun owners stop crimes ""2.5 million times a year,"" according to the federal Centers for Disease Control.",https://www.politifact.com/factchecks/2019/aug/14/curt-schilling/trump-backed-ex-pitcher-curt-schilling-misleads-sa/,Curt Schilling," August 10, 20"," August 14, 2019",barely-true
"""Not one Democrat called for gun control"" after a man shot at Republican lawmakers playing softball.",https://www.politifact.com/factchecks/2019/aug/14/viral-image/democrats-advocated-stricter-gun-laws-after-alexa/,Viral image," August 6, 201"," August 14, 2019",FALSE
The daughter of a Donald Trump appointee posed as an El Paso shooting victim in a photo with the president.,https://www.politifact.com/factchecks/2019/aug/14/viral-image/no-daughter-trump-appointee-didnt-pose-el-paso/,Viral image," August 12, 20"," August 14, 2019",pants-fire
"Says a crisis actor played the parts of a shooting victim and the mothers of shooting victims in Las Vegas, Orlando and Thousand Oaks.",https://www.politifact.com/factchecks/2019/aug/14/viral-image/no-same-woman-didnt-pretend-be-shooting-victim-and/,Viral image," August 8, 201"," August 14, 2019",pants-fire
"Says U.S. Rep. Ilhan Omar has been ""arrested 23 times"" and is the ""daughter of (a) Somali terrorist.""",https://www.politifact.com/factchecks/2019/aug/14/facebook-posts/no-ilhan-omar-has-not-been-arrested-23-times/,Facebook posts," August 1, 201"," August 14, 2019",FALSE
"Says every time someone purchases a Bang energy drink, a portion of the money is donated to help re-elect Donald Trump and ""goes to the fund campaign for MAGA!""",https://www.politifact.com/factchecks/2019/aug/13/facebook-posts/does-portion-every-bang-energy-drink-purchase-go-t/,Facebook posts," August 5, 201"," August 13, 2019",barely-true
"""If you go back, you can see Wayne LaPierre, who runs the NRA, testifying in front of Congress in favor of background checks 15 or 20 years ago.""",https://www.politifact.com/factchecks/2019/aug/13/michael-bloomberg/bloomberg-correct-nras-wayne-lapierre-once-support/,Michael Bloomberg," August 11, 20"," August 13, 2019",TRUE
"""More Americans are uninsured today than when (President Donald) Trump took office.""",https://www.politifact.com/factchecks/2019/aug/13/tammy-baldwin/us-sen-baldwin-right-more-americans-are-without-he/,Tammy Baldwin," June 24, 2019"," August 13, 2019",TRUE
"""Criminals don’t go through (gun) background checks. I think it’s like 3% go through a background check.""",https://www.politifact.com/factchecks/2019/aug/13/philip-van-cleave/van-cleave-ballpark-criminals-who-had-gun-backgrou/,Philip Van Cleave," August 8, 201"," August 13, 2019",mostly-true
Says that ice melting in a cup illustrates that sea levels don’t rise when icebergs melt.,https://www.politifact.com/factchecks/2019/aug/12/viral-image/viral-photo-ice-melting-cup-misrepresents-icebergs/,Viral image," July 31, 2019"," August 12, 2019",FALSE
Say Jeffrey Epstein is not dead.,https://www.politifact.com/factchecks/2019/aug/12/blog-posting/epstein-not-dead-conspiracy-theories-abound/,Bloggers," August 10, 20"," August 12, 2019",pants-fire
"""In 2016, counties hosting a Trump rally saw a 226% spike in hate crimes.""",https://www.politifact.com/factchecks/2019/aug/12/bernie-sanders/did-counties-hosting-trump-rally-2016-see-226-spik/,Bernie Sanders," August 5, 201"," August 12, 2019",half-true
"Says Joe Biden leaked the names of SEAL Team 6’s families to al-Qaida and that he ""cannot be trusted.""",https://www.politifact.com/factchecks/2019/aug/12/facebook-posts/no-biden-did-not-leak-names-seal-team-6-members-al/,Facebook posts," August 1, 201"," August 12, 2019",FALSE
A Fox News affiliate reported on a shooting before it happened.,https://www.politifact.com/factchecks/2019/aug/12/viral-image/no-el-paso-fox-news-affiliate-didnt-report-shootin/,Viral image," August 5, 201"," August 12, 2019",FALSE
"Quotes Rep. Kevin McCarthy as saying ""there are no mass shootings in Japan because there are no video games there.""",https://www.politifact.com/factchecks/2019/aug/12/facebook-posts/no-kevin-mccarthy-didnt-say-japan-has-no-mass-shoo/,Facebook posts," August 5, 201"," August 12, 2019",pants-fire
"Property taxes have ""nothing to do with the state.""",https://www.politifact.com/factchecks/2019/aug/10/andrew-cuomo/cuomos-claim-property-taxes-omits-mandates/,Andrew Cuomo," July 19, 2019"," August 10, 2019",half-true
"Says Donald Trump ""asserted that immigrants would quote, ‘carve you up with a knife’.""",https://www.politifact.com/factchecks/2019/aug/09/joe-biden/joe-biden-takes-donald-trumps-words-about-gang-mem/,Joe Biden," August 7, 201"," August 9, 2019",FALSE
"""The Trump Administration cut funding allocated to the Department of Homeland Security to combat white nationalism.""",https://www.politifact.com/factchecks/2019/aug/09/pete-buttigieg/fact-checking-whether-trump-cut-money-combat-white/,Pete Buttigieg," August 5, 201"," August 9, 2019",half-true
"Says Bernie Sanders wants ""to make the cut off date for abortions up to 36 weeks"" because he says ""a baby at that point feels no pain and has no rights to life.""",https://www.politifact.com/factchecks/2019/aug/09/viral-image/fact-checking-bernie-sanders-abortion-position/,Viral image," June 9, 2016 "," August 9, 2019",FALSE
"Says U.S. Sen. Sherrod Brown and Dayton Mayor Nan Whaley were ""totally misrepresenting what took place inside of the hospital. Their news conference after I left for El Paso was a fraud. It bore no resemblance to what took place with those incredible people that I was so lucky to meet and spend time with.""",https://www.politifact.com/factchecks/2019/aug/09/donald-trump/donald-trump-says-democrats-distorted-his-visit-da/,Donald Trump," August 7, 201"," August 9, 2019",FALSE
"Says President Donald Trump is ""talking about exterminating Latinos.""",https://www.politifact.com/factchecks/2019/aug/08/nicolle-wallace/no-trump-hasnt-talked-about-exterminating-latinos/,Nicolle Wallace," August 5, 201"," August 8, 2019",pants-fire
"Says Royce West stood with Wendy Davis ""to support painful late-term abortions.""",https://www.politifact.com/factchecks/2019/aug/08/john-cornyn/fact-checking-john-cornyns-ad-royce-west-and-abort/,John Cornyn," July 22, 2019"," August 8, 2019",half-true
"Asked what his administration would be doing about ""the gun problem,"" said, ""We have done much more than most administrations. … We’ve done, actually, a lot.""",https://www.politifact.com/factchecks/2019/aug/08/donald-trump/donald-trump-says-hes-done-more-other-presidents-s/,Donald Trump," August 4, 201"," August 8, 2019",half-true
"President Trump was ""kicked off"" the California ballot",https://www.politifact.com/factchecks/2019/aug/08/california-republican-party/no-president-trump-wasnt-kicked-california-ballot-/,California Republican Party," August 6, 201"," August 8, 2019",pants-fire
"""There are more assault rifles, as I understand it, in the hands of private citizens than in the hands of the United States military. We're talking about 5 to 10 million assault weapons in the hands of private citizens.""",https://www.politifact.com/factchecks/2019/aug/08/bernie-sanders/do-private-citizens-have-5-10-million-assault-weap/,Bernie Sanders," August 5, 201"," August 8, 2019",half-true
"Dan McCready backed state legislation that raised consumers ""$149 million a year in higher energy costs.""",https://www.politifact.com/factchecks/2019/aug/08/club-growth/ad-misleads-about-dan-mccready-backing-bill-costin/,Club for Growth," July 25, 2019"," August 8, 2019",barely-true
"""Chicago experienced its deadliest weekend of the year...With 7 dead and 52 wounded near a playground.""",https://www.politifact.com/factchecks/2019/aug/07/ivanka-trump/ivanka-trump-conflates-chicago-gun-violence-statis/,Ivanka Trump," August 6, 201"," August 7, 2019",barely-true
"Says Walmart is ""one of the largest sellers of assault-style weapons.""",https://www.politifact.com/factchecks/2019/aug/07/stephanie-ruhle/walmart-one-largest-sellers-assault-style-weapons-/,Stephanie Ruhle," August 5, 201"," August 7, 2019",FALSE
"Says Elizabeth Warren said, ""Having an abortion is no different than someone having their tonsils removed.""",https://www.politifact.com/factchecks/2019/aug/07/facebook-posts/elizabeth-warren-quote-likening-abortion-tonsil-re/,Facebook posts," July 31, 2019"," August 7, 2019",barely-true
"Old photograph shows a group of women in KKK attire holding a sign that reads ""Women of the Democrat Party.""",https://www.politifact.com/factchecks/2019/aug/07/viral-image/no-old-photo-women-kkk-attire-was-digitally-altere/,Viral image," August 1, 201"," August 7, 2019",FALSE
"""After (the assault weapon ban) passed in 1994, there was a big drop in mass shooting deaths. When the ban expired, they rose again.""",https://www.politifact.com/factchecks/2019/aug/07/bill-clinton/did-mass-shooting-deaths-fall-under-1994-assault-w/,Bill Clinton," August 5, 201"," August 7, 2019",half-true
"Says congressional salaries have gone up 231% over the last 30 years...Now Congress is saying they need a $4,500 raise.",https://www.politifact.com/factchecks/2019/aug/07/facebook-posts/no-congressional-salaries-have-not-gone-231-over-l/,Facebook posts," July 19, 2019"," August 7, 2019",FALSE
"""What Congress is considering would cut money that vulnerable patients rely on the most. That means seniors, children and Americans who rely on Medicaid would be hurt. … Tell Congress we can end surprise billing without shredding the safety net.""",https://www.politifact.com/factchecks/2019/aug/07/physicians-fair-coverage/doctors-argue-plans-remedy-surprise-medical-bills-/,Physicians for Fair Coverage," July 15, 2019"," August 7, 2019",FALSE
"There are ""more gun deaths by far"" in the United States than any other country in the world.",https://www.politifact.com/factchecks/2019/aug/06/dianne-feinstein/fact-check-are-there-more-gun-deaths-far-america-a/,Dianne Feinstein," August 3, 201"," August 6, 2019",FALSE
"""Fringe leftists are now advocating for cow fart bags to capture farts as a way to help prevent ‘global warming.’""",https://www.politifact.com/factchecks/2019/aug/06/facebook-posts/facebook-post-mischaracterizes-scientists-cow-flat/,Facebook posts," July 29, 2019"," August 6, 2019",barely-true
"""Ida B. Wells refused to give up her seat 71 years before Rosa Parks did. At age 33, she owned the first African American newspaper in Chicago, the Chicago Conservator. Why do you never hear about her? Because she was a Republican.""",https://www.politifact.com/factchecks/2019/aug/06/viral-image/fact-checking-ida-b-wells-ignored-republican/,Viral image," July 19, 2019"," August 6, 2019",half-true
"""ICE just rolled up to the school where the families are reunifying after the El Paso shooting to check citizenship papers.""",https://www.politifact.com/factchecks/2019/aug/06/viral-image/no-ice-didnt-check-immigration-papers-immediately-/,Viral image," August 3, 201"," August 6, 2019",FALSE
"""Less mass shootings under Trump!""",https://www.politifact.com/factchecks/2019/aug/06/ron-tusler/pants-fire-state-rep-claims-mass-shootings-are-dow/,Ron Tusler," August 4, 201"," August 6, 2019",pants-fire
"The Dayton, Ohio, shooting suspect died in 2014.",https://www.politifact.com/factchecks/2019/aug/06/viral-image/no-dayton-shooting-suspect-didnt-die-2014/,Viral image," August 5, 201"," August 6, 2019",FALSE
"""African Americans are three to four times more likely to be arrested for drug crimes, and nine times more likely to be imprisoned.""",https://www.politifact.com/factchecks/2019/aug/06/sheila-bynum-coleman/bynum-coleman-mostly-right-about-racial-disparity-/,Sheila Bynum-Coleman," July 26, 2019"," August 6, 2019",mostly-true
"""Last year, we prosecuted a record number of firearms offenses.""",https://www.politifact.com/factchecks/2019/aug/05/donald-trump/after-mass-shootings-fact-checking-trumps-statisti/,Donald Trump," August 5, 201"," August 5, 2019",mostly-true
"Says of El Paso that some years, ""in a city of almost 700,000, we had five murders the entire year. Our average over the last 10 years is 18 (murders per year). We exceeded that average just on one day"" after a gunman opened fire at a Walmart in the city.",https://www.politifact.com/factchecks/2019/aug/05/beto-orourke/fact-checking-beto-orourke-murders-el-paso-after-m/,Beto O'Rourke," August 3, 201"," August 5, 2019",TRUE
